seq,tracklet_key,video,camera,start_frame,end_frame,n_dets,avg_conf,predicted_global_id,component_label,component_size,prediction_confidence,decision_status,component_internal_edges,component_internal_prob_median,component_internal_score_median,component_external_prob_max,component_margin_prob
53,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:148:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31645,31944,247,0.668102,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
54,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:149:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31719,32018,300,0.476663,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
55,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:14:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27759,28009,224,0.891933,96000010,9,245,0.7,forced_component,0,0.0,0.0,0.0,0.0
56,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:150:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31772,32071,300,0.726459,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
57,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:151:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31780,31921,82,0.527287,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
58,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:152:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31781,32080,300,0.789319,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
59,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:153:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31895,31917,23,0.459698,96000011,10,152,0.7,forced_component,0,0.0,0.0,0.0,0.0
60,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:154:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31929,32224,267,0.716135,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
61,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:155:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31938,31986,34,0.55042,96000009,8,75,0.7,forced_component,0,0.0,0.0,0.0,0.0
62,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:156:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31939,32238,300,0.860366,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
63,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:157:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31945,31960,16,0.751548,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
66,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:15:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27771,27856,72,0.662931,96002329,78,168,0.7,forced_component,0,0.0,0.0,0.0,0.0
67,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:160:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32019,32318,300,0.5062,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
68,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:161:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32028,32303,268,0.711867,96000009,8,75,0.7,forced_component,0,0.0,0.0,0.0,0.0
69,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:162:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32072,32285,176,0.343097,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
70,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:163:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32081,32350,236,0.81927,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
71,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:164:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32129,32405,157,0.660773,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
72,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:165:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32236,32535,279,0.821476,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
73,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:166:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32239,32538,300,0.824676,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
74,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:167:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32313,32593,150,0.70734,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
75,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:168:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32319,32618,300,0.443192,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
76,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:169:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32352,32651,274,0.593778,96000009,8,75,0.7,forced_component,0,0.0,0.0,0.0,0.0
77,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:16:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27788,27801,10,0.684886,96002329,78,168,0.7,forced_component,0,0.0,0.0,0.0,0.0
78,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:170:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32415,32636,206,0.795967,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
80,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:172:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32494,32793,267,0.310946,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
81,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:173:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32536,32835,276,0.815912,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
82,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:174:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32539,32838,300,0.813258,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
83,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:175:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32615,32881,221,0.749225,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
84,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:176:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32619,32918,300,0.424468,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
85,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:177:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32652,32927,267,0.690797,96000009,8,75,0.7,forced_component,0,0.0,0.0,0.0,0.0
87,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:179:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32717,33016,182,0.688597,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
88,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:17:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27803,28040,211,0.826419,96000012,11,183,0.7,forced_component,0,0.0,0.0,0.0,0.0
89,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:180:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32760,32771,11,0.337677,96000013,12,223,0.7,forced_component,0,0.0,0.0,0.0,0.0
90,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:181:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32794,33093,228,0.226913,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
91,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:182:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32815,33057,232,0.737921,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
92,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:183:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32836,33114,219,0.642757,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
93,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:184:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32839,33138,300,0.874823,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
94,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:185:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32915,33204,240,0.646174,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
95,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:186:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32919,33218,300,0.672506,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
96,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:187:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,32978,33277,300,0.819616,96000000,0,200,0.7,forced_component,0,0.0,0.0,0.0,0.0
97,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:188:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33017,33316,245,0.760137,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
98,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:189:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33100,33399,296,0.824351,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
99,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:18:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27849,28057,204,0.841592,96000014,13,214,0.7,forced_component,0,0.0,0.0,0.0,0.0
100,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:190:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33139,33253,115,0.765472,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
101,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:191:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33147,33275,70,0.766423,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
102,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:192:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33219,33344,126,0.78148,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
103,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:193:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33224,33390,154,0.746914,96000015,14,166,0.7,forced_component,0,0.0,0.0,0.0,0.0
105,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:195:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33242,33245,4,0.750356,96000016,15,2,0.34,forced_component,0,0.0,0.0,0.0,0.0
106,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:196:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33245,33408,163,0.778457,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
107,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:197:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33248,33547,300,0.726596,96000017,16,140,0.7,forced_component,0,0.0,0.0,0.0,0.0
108,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:198:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33271,33502,232,0.757298,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
109,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:199:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33278,33279,2,0.888067,96000018,17,1,0.15,forced_singleton,0,0.0,0.0,0.0,0.0
110,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:19:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27870,28058,126,0.742025,96000010,9,245,0.7,forced_component,0,0.0,0.0,0.0,0.0
112,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:200:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33278,33577,300,0.816797,96000000,0,200,0.7,forced_component,0,0.0,0.0,0.0,0.0
113,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:201:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33282,33452,121,0.67837,96000012,11,183,0.7,forced_component,0,0.0,0.0,0.0,0.0
114,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:202:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33308,33514,181,0.808498,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
115,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:203:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33317,33340,24,0.876893,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
116,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:204:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33317,33616,212,0.646186,96000010,9,245,0.7,forced_component,0,0.0,0.0,0.0,0.0
117,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:205:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33334,33570,223,0.619856,96000019,18,90,0.7,forced_component,0,0.0,0.0,0.0,0.0
118,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:206:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33346,33645,280,0.69611,960000200,80,20,0.7,forced_component,0,0.0,0.0,0.0,0.0
119,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:207:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33350,33648,299,0.761131,96000007,6,216,0.7,forced_component,0,0.0,0.0,0.0,0.0
120,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:208:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33371,33670,241,0.76747,96000010,9,245,0.7,forced_component,0,0.0,0.0,0.0,0.0
121,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:209:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33373,33513,93,0.783445,96000021,19,225,0.7,forced_component,0,0.0,0.0,0.0,0.0
122,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:20:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27878,28080,183,0.788684,96000017,16,140,0.7,forced_component,0,0.0,0.0,0.0,0.0
123,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:210:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33375,33564,190,0.794285,96000015,14,166,0.7,forced_component,0,0.0,0.0,0.0,0.0
124,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:211:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,33393,33692,290,0.824952,96000014,13,214,0.7,forced_component,0,0.0,0.0,0.0,0.0
